"b'4.033381'","b'1.41252'","b'0.94536746'","b'274428280000000.0'","b'1650646800000000.0'","b'361904000000000.0'","b'52'","b'9.006419'","b'-79.91904'","b'48280.605'","b'2020-01-23T19:46:08.468Z'"
"b'2.231499'","b'1.1612973'","b'0.66170275'","b'266893830000000.0'","b'1650646800000000.0'","b'364192830000000.0'","b'49'","b'8.996059'","b'-79.40721'","b'9581.9375'","b'2020-01-24T18:50:46.235Z'"
"b'3.2509189'","b'1.2905462'","b'1.0211424'","b'247409580000000.0'","b'1650646800000000.0'","b'360124950000000.0'","b'49'","b'8.931603'","b'-79.85699'","b'43092.695'","b'2020-01-25T19:33:47.121Z'"
"b'2.4360933'","b'1.1638304'","b'1.363359'","b'172423610000000.0'","b'1650646800000000.0'","b'356630200000000.0'","b'33'","b'9.119585'","b'-79.390396'","b'13171.752'","b'2020-01-26T18:38:36.888Z'"
"b'2.7122126'","b'1.1756064'","b'0.97044665'","b'238056080000000.0'","b'1650646800000000.0'","b'362151640000000.0'","b'46'","b'8.965284'","b'-79.689514'","b'24444.129'","b'2020-01-27T19:21:27.774Z'"
"b'2.8582702'","b'1.2586687'","b'1.0708808'","b'231873740000000.0'","b'1650646800000000.0'","b'358617560000000.0'","b'32'","b'9.068464'","b'-79.52053'","b'5245.7373'","b'2020-01-28T18:26:27.543Z'"
"b'2.356775'","b'1.1336114'","b'1.8103963'","b'98527620000000.0'","b'1650646800000000.0'","b'360887180000000.0'","b'50'","b'9.055182'","b'-79.40053'","b'8960.0'","b'2020-01-29T19:09:10.425Z'"
"b'3.541689'","b'1.4089993'","b'1.2320069'","b'234335430000000.0'","b'1650646800000000.0'","b'357998950000000.0'","b'37'","b'8.930092'","b'-79.77334'","b'34444.26'","b'2020-01-30T18:14:18.195Z'"
"b'2.1860619'","b'1.0871862'","b'1.7208804'","b'100519280000000.0'","b'1650646800000000.0'","b'361624840000000.0'","b'44'","b'9.084037'","b'-79.40471'","b'9595.812'","b'2020-01-31T18:56:55.072Z'"
"b'3.6424494'","b'1.3348392'","b'1.3827034'","b'199900400000000.0'","b'1655871600000000.0'","b'335609700000000.0'","b'52'","b'9.070764'","b'-79.590034'","b'12396.267'","b'2020-02-01T19:39:59.957Z'"
"b'2.2651412'","b'1.1544887'","b'0.7551238'","b'234035590000000.0'","b'1655871600000000.0'","b'334390850000000.0'","b'43'","b'9.06377'","b'-79.37189'","b'12227.196'","b'2020-02-02T18:44:41.723Z'"
"b'2.9126759'","b'1.212223'","b'1.0692956'","b'215063500000000.0'","b'1655871600000000.0'","b'335609700000000.0'","b'49'","b'9.004933'","b'-79.68017'","b'22263.627'","b'2020-02-03T19:27:38.615Z'"
"b'2.5813167'","b'1.191282'","b'1.3479594'","b'170302160000000.0'","b'1655871600000000.0'","b'331189630000000.0'","b'33'","b'9.1029825'","b'-79.44215'","b'8013.651'","b'2020-02-04T18:32:32.385Z'"
"b'2.4922016'","b'1.1125103'","b'0.54857117'","b'268475720000000.0'","b'1655871600000000.0'","b'336278360000000.0'","b'45'","b'9.039147'","b'-79.353966'","b'13957.623'","b'2020-02-05T19:15:19.271Z'"
"b'3.0779424'","b'1.2984711'","b'1.1831682'","b'210150470000000.0'","b'1655871600000000.0'","b'333754660000000.0'","b'35'","b'9.079919'","b'-79.40202'","b'9645.606'","b'2020-02-06T18:20:23.041Z'"
"b'2.1972256'","b'1.0810896'","b'1.7369177'","b'91183360000000.0'","b'1655871600000000.0'","b'335302730000000.0'","b'48'","b'9.055246'","b'-79.368004'","b'12498.873'","b'2020-02-07T19:03:01.925Z'"
"b'3.8060198'","b'1.4135507'","b'1.871744'","b'160582790000000.0'","b'1655871600000000.0'","b'333026530000000.0'","b'37'","b'8.980506'","b'-79.52951'","b'8670.695'","b'2020-02-08T18:08:13.697Z'"
"b'3.9249938'","b'1.3634464'","b'1.074709'","b'238806090000000.0'","b'1655871600000000.0'","b'335609700000000.0'","b'51'","b'9.001458'","b'-79.9008'","b'46335.37'","b'2020-02-08T19:46:08.812Z'"
"b'2.162648'","b'1.1809332'","b'0.06911538'","b'328139260000000.0'","b'1655871600000000.0'","b'337306730000000.0'","b'58'","b'9.004667'","b'-79.38954'","b'10870.974'","b'2020-02-09T18:50:46.582Z'"
"b'3.1634395'","b'1.2679081'","b'1.2350248'","b'202592670000000.0'","b'1655871600000000.0'","b'334547750000000.0'","b'52'","b'8.954652'","b'-79.84076'","b'40698.82'","b'2020-02-10T19:33:47.470Z'"
"b'2.3737285'","b'1.2007445'","b'0.7612882'","b'238676160000000.0'","b'1655871600000000.0'","b'336278360000000.0'","b'43'","b'9.03554'","b'-79.34899'","b'14518.288'","b'2020-02-11T18:38:35.238Z'"
"b'2.6327834'","b'1.1527478'","b'1.1894935'","b'189759170000000.0'","b'1655871600000000.0'","b'335403530000000.0'","b'48'","b'9.008327'","b'-79.674675'","b'21602.209'","b'2020-02-12T19:21:28.121Z'"
"b'2.7915447'","b'1.2329043'","b'1.5588874'","b'155836180000000.0'","b'1655871600000000.0'","b'332350200000000.0'","b'33'","b'9.075483'","b'-79.50264'","b'4418.083'","b'2020-02-13T18:26:27.893Z'"
"b'2.2882423'","b'1.0479012'","b'1.7770773'","b'91790700000000.0'","b'1655871600000000.0'","b'336278360000000.0'","b'41'","b'9.023126'","b'-79.375534'","b'11773.785'","b'2020-02-14T19:09:10.775Z'"
"b'3.4831514'","b'1.3284302'","b'1.513251'","b'186200520000000.0'","b'1655871600000000.0'","b'331733340000000.0'","b'32'","b'8.981029'","b'-79.77264'","b'32747.143'","b'2020-02-15T18:14:20.549Z'"
